"dats"	"Freq"
"1"	"2016-07-07"	190
"2"	"2016-07-08"	345
"3"	"2016-07-09"	421
"4"	"2016-07-10"	334
"5"	"2016-07-11"	350
"6"	"2016-07-12"	533
"7"	"2016-07-13"	535
"8"	"2016-07-14"	570
"9"	"2016-07-15"	484
"10"	"2016-07-16"	412
"11"	"2016-07-17"	354
"12"	"2016-07-18"	433
"13"	"2016-07-19"	496
"14"	"2016-07-20"	488
"15"	"2016-07-21"	540
"16"	"2016-07-22"	471
"17"	"2016-07-23"	338
"18"	"2016-07-24"	350
"19"	"2016-07-25"	535
"20"	"2016-07-26"	480
"21"	"2016-07-27"	534
"22"	"2016-07-28"	547
"23"	"2016-07-29"	614
"24"	"2016-07-30"	511
"25"	"2016-07-31"	555
"26"	"2016-08-01"	633
"27"	"2016-08-02"	765
"28"	"2016-08-03"	763
"29"	"2016-08-04"	862
"30"	"2016-08-05"	862
"31"	"2016-08-06"	778
"32"	"2016-08-07"	867
"33"	"2016-08-08"	715
"34"	"2016-08-09"	754
"35"	"2016-08-10"	821
"36"	"2016-08-11"	942
"37"	"2016-08-12"	832
"38"	"2016-08-13"	839
"39"	"2016-08-14"	1022
"40"	"2016-08-15"	646
"41"	"2016-08-16"	747
"42"	"2016-08-17"	727
"43"	"2016-08-18"	735
"44"	"2016-08-19"	785
"45"	"2016-08-20"	796
"46"	"2016-08-21"	783
"47"	"2016-08-22"	731
"48"	"2016-08-23"	877
"49"	"2016-08-24"	763
"50"	"2016-08-25"	838
"51"	"2016-08-26"	861
"52"	"2016-08-27"	730
"53"	"2016-08-28"	606
"54"	"2016-08-29"	635
"55"	"2016-08-30"	719
"56"	"2016-08-31"	719
"57"	"2016-09-01"	775
"58"	"2016-09-02"	837
"59"	"2016-09-03"	701
"60"	"2016-09-04"	584
"61"	"2016-09-05"	650
"62"	"2016-09-06"	668
"63"	"2016-09-07"	675
"64"	"2016-09-08"	697
"65"	"2016-09-09"	757
"66"	"2016-09-10"	644
"67"	"2016-09-11"	561
"68"	"2016-09-12"	635
"69"	"2016-09-13"	693
"70"	"2016-09-14"	709
"71"	"2016-09-15"	758
"72"	"2016-09-16"	779
"73"	"2016-09-17"	781
"74"	"2016-09-18"	615
"75"	"2016-09-19"	584
"76"	"2016-09-20"	629
"77"	"2016-09-21"	600
"78"	"2016-09-22"	724
"79"	"2016-09-23"	687
"80"	"2016-09-24"	575
"81"	"2016-09-25"	523
"82"	"2016-09-26"	517
"83"	"2016-09-27"	578
"84"	"2016-09-28"	585
"85"	"2016-09-29"	645
"86"	"2016-09-30"	700
"87"	"2016-10-01"	592
"88"	"2016-10-02"	495
"89"	"2016-10-03"	623
"90"	"2016-10-04"	630
"91"	"2016-10-05"	676
"92"	"2016-10-06"	651
"93"	"2016-10-07"	747
"94"	"2016-10-08"	541
"95"	"2016-10-09"	549
"96"	"2016-10-10"	550
"97"	"2016-10-11"	528
"98"	"2016-10-12"	582
"99"	"2016-10-13"	655
"100"	"2016-10-14"	586
"101"	"2016-10-15"	455
"102"	"2016-10-16"	1485
"103"	"2016-10-17"	404
"104"	"2016-10-18"	561
"105"	"2016-10-19"	589
"106"	"2016-10-20"	587
"107"	"2016-10-21"	596
"108"	"2016-10-22"	489
"109"	"2016-10-23"	446
"110"	"2016-10-24"	482
"111"	"2016-10-25"	547
"112"	"2016-10-26"	548
"113"	"2016-10-27"	573
"114"	"2016-10-28"	604
"115"	"2016-10-29"	540
"116"	"2016-10-30"	328
"117"	"2016-10-31"	520
"118"	"2016-11-01"	558
"119"	"2016-11-02"	635
"120"	"2016-11-03"	602
"121"	"2016-11-04"	643
"122"	"2016-11-05"	496
"123"	"2016-11-06"	525
"124"	"2016-11-07"	510
"125"	"2016-11-08"	554
"126"	"2016-11-09"	538
"127"	"2016-11-10"	609
"128"	"2016-11-11"	549
"129"	"2016-11-12"	651
"130"	"2016-11-13"	420
"131"	"2016-11-14"	578
"132"	"2016-11-15"	468
"133"	"2016-11-16"	530
"134"	"2016-11-17"	550
"135"	"2016-11-18"	547
"136"	"2016-11-19"	505
"137"	"2016-11-20"	208
"138"	"2016-11-21"	441
"139"	"2016-11-22"	500
"140"	"2016-11-23"	451
"141"	"2016-11-24"	251
"142"	"2016-11-25"	321
"143"	"2016-11-26"	236
"144"	"2016-11-27"	292
"145"	"2016-11-28"	360
"146"	"2016-11-29"	440
"147"	"2016-11-30"	462
"148"	"2016-12-01"	476
"149"	"2016-12-02"	427
"150"	"2016-12-03"	388
"151"	"2016-12-04"	349
"152"	"2016-12-05"	371
"153"	"2016-12-06"	428
"154"	"2016-12-07"	447
"155"	"2016-12-08"	492
"156"	"2016-12-09"	453
"157"	"2016-12-10"	400
"158"	"2016-12-11"	293
"159"	"2016-12-12"	398
"160"	"2016-12-13"	390
"161"	"2016-12-14"	445
"162"	"2016-12-15"	287
"163"	"2016-12-16"	302
"164"	"2016-12-17"	347
"165"	"2016-12-18"	246
"166"	"2016-12-19"	385
"167"	"2016-12-20"	380
"168"	"2016-12-21"	282
"169"	"2016-12-22"	309
"170"	"2016-12-23"	240
"171"	"2016-12-24"	167
"172"	"2016-12-25"	147
"173"	"2016-12-26"	230
"174"	"2016-12-27"	378
"175"	"2016-12-28"	384
"176"	"2016-12-29"	370
"177"	"2016-12-30"	236
"178"	"2016-12-31"	166
"179"	"2017-01-01"	273
"180"	"2017-01-02"	262
"181"	"2017-01-03"	331
"182"	"2017-01-04"	359
"183"	"2017-01-05"	237
"184"	"2017-01-06"	366
"185"	"2017-01-07"	282
"186"	"2017-01-08"	423
"187"	"2017-01-09"	309
"188"	"2017-01-10"	247
"189"	"2017-01-11"	327
"190"	"2017-01-12"	176
"191"	"2017-01-13"	335
"192"	"2017-01-14"	332
"193"	"2017-01-15"	273
"194"	"2017-01-16"	304
"195"	"2017-01-17"	334
"196"	"2017-01-18"	307
"197"	"2017-01-19"	337
"198"	"2017-01-20"	170
"199"	"2017-01-21"	764
"200"	"2017-01-22"	70
"201"	"2017-01-23"	203
"202"	"2017-01-24"	314
"203"	"2017-01-25"	339
"204"	"2017-01-26"	424
"205"	"2017-01-27"	386
"206"	"2017-01-28"	603
"207"	"2017-01-29"	434
"208"	"2017-01-30"	380
"209"	"2017-01-31"	446
"210"	"2017-02-01"	419
"211"	"2017-02-02"	406
"212"	"2017-02-03"	244
"213"	"2017-02-04"	397
"214"	"2017-02-05"	273
"215"	"2017-02-06"	205
"216"	"2017-02-07"	223
"217"	"2017-02-08"	377
"218"	"2017-02-09"	400
"219"	"2017-02-10"	223
"220"	"2017-02-11"	320
"221"	"2017-02-12"	336
"222"	"2017-02-13"	399
"223"	"2017-02-14"	454
"224"	"2017-02-15"	401
"225"	"2017-02-16"	411
"226"	"2017-02-17"	79
"227"	"2017-02-18"	335
"228"	"2017-02-19"	270
"229"	"2017-02-20"	263
"230"	"2017-02-21"	344
"231"	"2017-02-22"	438
"232"	"2017-02-23"	399
"233"	"2017-02-24"	479
"234"	"2017-02-25"	349
"235"	"2017-02-26"	284
"236"	"2017-02-27"	402
"237"	"2017-02-28"	403
"238"	"2017-03-01"	397
"239"	"2017-03-02"	415
"240"	"2017-03-03"	422
"241"	"2017-03-04"	399
"242"	"2017-03-05"	324
"243"	"2017-03-06"	376
"244"	"2017-03-07"	434
"245"	"2017-03-08"	475
"246"	"2017-03-09"	470
"247"	"2017-03-10"	537
"248"	"2017-03-11"	447
"249"	"2017-03-12"	436
"250"	"2017-03-13"	444
"251"	"2017-03-14"	514
"252"	"2017-03-15"	511
"253"	"2017-03-16"	489
"254"	"2017-03-17"	498
"255"	"2017-03-18"	384
"256"	"2017-03-19"	459
"257"	"2017-03-20"	412
"258"	"2017-03-21"	305
"259"	"2017-03-22"	463
"260"	"2017-03-23"	456
"261"	"2017-03-24"	511
"262"	"2017-03-25"	419
"263"	"2017-03-26"	511
"264"	"2017-03-27"	376
"265"	"2017-03-28"	486
"266"	"2017-03-29"	518
"267"	"2017-03-30"	490
"268"	"2017-03-31"	528
